"Tool","Description","Category","Type","Published","","","","","","","","","","","","","","","","","","","","",""
"list_campaigns_v2","Search and list campaigns with filtering by name, status, type (one-time, recurring, segment triggered, event triggered, live content), author, tags, and more. Supports pagination and sorting.","Campaigns","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_campaign_full","Retrieve the complete, unfiltered configuration of a campaign including all fields preserved — triggers, conditions, experiment groups, scheduling, and settings.","Campaigns","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_campaign_lite","Retrieve campaign information with smart AI filtering — returns only the fields matching your intent for a lightweight, token-efficient response.","Campaigns","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_campaign_statistics","Primary tool for campaign performance metrics including sends, opens, clicks, conversions, revenue, and rates. Supports filtering by channel, campaign, trigger, template, and time range. Also used for segment trends and recommended items reporting.","Campaigns","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"create_campaign","Create a new campaign shell (one-time, recurring, segment triggered, or event triggered). Use update_campaign after creation to add triggers, segments, and templates.","Campaigns","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_campaign","Add triggers, segments, templates, conditions, A/B tests, scheduling, and all configuration details to an existing campaign. Supports the full journey builder workflow.","Campaigns","Write","No","","","","","","","","","","","","","","","","","","","","",""
"list_segments_v1","List all customer segments with their names, types, and metadata.","Segments","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_segment_details","Retrieve detailed configuration and filter criteria for a specific segment, including all V2 conditions and components.","Segments","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"create_segment_v2","Create a new Advanced (V2) segment with a root condition node. Add conditions afterward with update_segment_v2.","Segments","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_segment_v2","Update an existing V2 segment — add, modify, or delete conditions and components including user attributes, events, transactions, and segment references. Supports resource draft pointers for iterative editing.","Segments","Write","No","","","","","","","","","","","","","","","","","","","","",""
"search_users","Search and filter users by attributes, segments, or dynamic inline queries. Supports count only mode for funnel analysis, cohort sizing, and retention measurement.","Segments","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"matching_users_at_path_synchronous","Get user count at a specific V2 segment condition node — useful for debugging and verifying segment logic.","Segments","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"show_query","View the underlying query generated from segment conditions for debugging and optimization.","Segments","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_email_templates","List email templates with optional filtering by name, tags, editor type, status, and author.","Templates","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_email_template","Retrieve detailed information about an email template including HTML content, settings, Liquid variables, and associated campaigns. Supports expanding shared assets inline.","Templates","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"create_email_template","Create a new email template with name, subject line, preheader, and HTML content.","Templates","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_email_template","Update an existing email template's subject, preheader, content, or recommendation settings.","Templates","Write","No","","","","","","","","","","","","","","","","","","","","",""
"render_email","Render a Liquid email template with personalizations and optionally generate a screenshot with AI-powered visual analysis. Supports rendering by user identifier, manual personalizations, or optimizer experiment context.","Templates","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_personalizations","Fetch personalization context for a user and template, including product recommendations — used for Liquid template preview.","Templates","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_push_templates","List push notification templates with filtering by name, tags, and author.","Templates","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"list_sms_templates","List SMS/MMS templates with filtering by name, tags, message type, and author.","Templates","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
